ip,anonymityLevel,asn,country,isp,latency,org,port,protocols,responseTime,speed,updated_at,upTime,upTimeSuccessCount,upTimeTryCount
"202.124.46.97","elite","AS9902","KH","NeocomISP Limited","198","NeocomISP Limited","4145","socks4","443","1","2022-10-13T16:10:19.267Z","99","172","173"
"198.98.61.133","elite","AS53667","US","FranTech Solutions","73","FranTech Solutions","30900","socks4","81","1","2022-10-13T16:10:19.356Z","100","147","147"
"61.9.33.118","anonymous","AS17970","PH","Sky Cable Corporation","284","Sky Cable Corporation","1337","http","541","897","2022-10-13T16:10:19.925Z","100","68","68"
"105.213.145.93","elite","AS16637","ZA","MTN SA","181","MTN SA","5678","socks4","770","1","2022-10-13T16:10:19.851Z","97","153","157"
"103.109.168.36","elite","AS4787","ID","PT Cyberindo Aditama","211","PT. Brena Visi Gemilang","5678","socks4","554","1","2022-10-13T16:10:19.057Z","100","184","184"
"61.7.138.214","elite","AS131090","TH","CAT-BB","166","N/A","4145","socks4","179","1","2022-10-13T16:10:19.358Z","100","63","63"
"172.98.21.161","elite","AS7018","US","AT&T Services, Inc.","89","Bunny Technology LLC","10001","socks4","85","1","2022-10-13T16:10:19.373Z","84","117","140"
"1.1.1.177","elite","AS13335","AU","Cloudflare, Inc","1","APNIC and Cloudflare DNS Resolver project","80","socks4","196","1","2022-10-13T16:10:19.060Z","100","96","96"
"209.124.101.194","elite","AS27742","NI","Amnet US LLC","146","Amnet Datos Nicaragua","5678","socks4","460","1","2022-10-13T16:10:19.266Z","100","63","63"
"66.29.128.241","elite","AS22612","US","Namecheap, Inc.","132","Namecheap, Inc.","65348","socks5","631","1","2022-10-13T16:10:19.566Z","100","181","181"
"119.18.152.138","elite","AS55685","ID","PT. Jala Lintas Media","169","N/A","4145","socks4","457","1","2022-10-13T16:10:19.978Z","99","155","157"
"176.31.226.57","elite","AS16276","FR","OVH SAS","4","OVH ISP","53499","socks5","69","1","2022-10-13T16:10:19.929Z","100","182","182"
"113.161.248.125","elite","AS45899","VN","VietNam Post and Telecom Corporation","244","Vietnam Posts and Telecommunications Group","1080","socks4","423","1","2022-10-13T16:10:19.268Z","100","177","177"
"95.85.254.138","elite","AS43708","CZ","METRONET s.r.o.","37","Metronet","5678","socks4","474","1","2022-10-13T16:10:19.977Z","100","121","121"
"212.3.105.11","elite","AS57993","UA","FOP Khalik Andrey Volodumurovuch","43","HLink","4145","socks4","497","1","2022-10-13T16:10:19.232Z","99","182","184"
"183.88.192.215","elite","AS45629","TH","Triple T Broadband Public Company Limited","180","Triple T Broadband Public Company Limited","8080","socks4","525","1","2022-10-13T16:10:19.058Z","99","122","123"
"179.107.51.4","elite","AS263284","BR","Topmega Internet e Informática LTDA -ME","189","Topmega Internet e Informática LTDA -ME","4145","socks4","566","1","2022-10-13T16:10:19.056Z","97","148","153"
"41.65.236.43","elite","AS36992","EG","Etisalat Misr","125","Nile Online","1981","http","516","519","2022-10-13T16:10:19.569Z","99","66","67"
"41.203.83.242","anonymous","AS37148","NG","Globacom Limited","122","Globacom","8080","http","786","5022","2022-10-13T16:10:19.269Z","99","184","185"
"203.205.55.161","elite","AS45903","VN","CMC Telecom Infrastructure Company","205","CMC Telecom Infrastructure Company","5678","socks4","759","1","2022-10-13T16:10:19.852Z","99","150","152"
"103.210.29.193","elite","AS134922","IN","R G TECHNOSOLUTIONS PVT LTD","159","R G Technosolutions PVT LTD","31433","socks4","779","1","2022-10-13T16:10:19.850Z","98","79","81"
"41.190.233.61","elite","AS37638","CD","Orioncom SPRL","544","N/A","36926","socks4","619","1","2022-10-13T16:10:19.567Z","91","167","184"
"129.226.92.230","elite","AS132203","SG","Tencent Cloud Computing (Beijing) Co","324","Aceville Pte.ltd","443","socks4","60","1","2022-10-13T16:10:18.723Z","59","97","165"
"128.199.59.76","elite","AS14061","NL","DigitalOcean, LLC","14","Digital Ocean","29321","socks5","482","1","2022-10-13T16:10:18.138Z","100","185","185"
"173.244.200.155","elite","AS32780","US","Hosting Services, Inc.","73","Hosting Services, Inc.","30109","socks5","855","1","2022-10-13T16:10:18.541Z","100","182","182"
"177.105.68.16","elite","AS262637","BR","Netprimus Tecnologia Ltda","210","Netprimus Tecnologia Ltda","4153","socks4","836","1","2022-10-13T16:10:18.542Z","100","156","156"
"177.93.76.6","elite","AS263163","BR","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","202","JR LINK PROVEDOR DE INTERNET VIA RARIO LTDA","4145","socks4","715","1","2022-10-13T16:10:18.235Z","93","170","183"
"80.85.141.44","elite","AS204601","NL","Zomro B.V.","13","Zomro B.V","3128","http","432","133","2022-10-13T16:10:18.298Z","100","64","64"
"93.184.151.48","elite","AS47288","TR","FIXNET Telekomunikasyon Limited Sirketi","50","N/A","5678","socks4","452","1","2022-10-13T16:10:18.400Z","98","85","87"
